STATE,Date,YearMonth,Events,Damage,y,Events_3M,Events_12M,Events_36M,Damage_3M,Damage_12M,Damage_36M
ALABAMA,1950-01-31,NA,0,0,1,0,0,0,0,0,0
ALABAMA,1950-03-03,NA,0,0,0,0,0,0,0,0,0
ALABAMA,1950-03-31,NA,0,0,1,0,0,0,0,0,0
ALABAMA,1950-05-01,NA,0,0,0,0,0,0,0,0,0
ALABAMA,1950-05-31,NA,0,0,1,0,0,0,0,0,0
ALABAMA,1950-07-01,NA,0,0,0,0,0,0,0,0,0
ALABAMA,1950-07-31,NA,0,0,0,0,0,0,0,0,0
ALABAMA,1950-08-31,NA,0,0,0,0,0,0,0,0,0
ALABAMA,1950-10-01,NA,0,0,0,0,0,0,0,0,0
ALABAMA,1950-10-31,NA,0,0,0,0,0,0,0,0,0
ALABAMA,1950-12-01,NA,0,0,0,0,0,0,0,0,0
ALABAMA,1950-12-31,NA,0,0,0,0,0,0,0,0,0
ALABAMA,1951-01-31,NA,0,0,1,0,0,0,0,0,0
ALABAMA,1951-03-03,NA,0,0,0,0,0,0,0,0,0
ALABAMA,1951-03-31,NA,0,0,1,0,0,0,0,0,0
ALABAMA,1951-05-01,NA,0,0,0,0,0,0,0,0,0
ALABAMA,1951-05-31,NA,0,0,1,0,0,0,0,0,0
ALABAMA,1951-07-01,NA,0,0,0,0,0,0,0,0,0
ALABAMA,1951-07-31,NA,0,0,0,0,0,0,0,0,0
ALABAMA,1951-08-31,NA,0,0,0,0,0,0,0,0,0
ALABAMA,1951-10-01,NA,0,0,0,0,0,0,0,0,0
ALABAMA,1951-10-31,NA,0,0,0,0,0,0,0,0,0
ALABAMA,1951-12-01,NA,0,0,0,0,0,0,0,0,0
ALABAMA,1951-12-31,NA,0,0,1,0,0,0,0,0,0
ALABAMA,1952-01-31,195201,1,2.5,0,1,1,1,2.5,2.5,2.5
ALABAMA,1952-03-02,NA,0,0,0,1,1,1,2.5,2.5,2.5
ALABAMA,1952-03-31,195203,2,50,1,3,3,3,52.5,52.5,52.5
ALABAMA,1952-05-01,NA,0,0,0,2,3,3,50,52.5,52.5
ALABAMA,1952-05-31,195205,3,75,0,5,6,6,125,127.5,127.5
ALABAMA,1952-07-01,NA,0,0,0,3,6,6,75,127.5,127.5
ALABAMA,1952-07-31,NA,0,0,0,3,6,6,75,127.5,127.5
ALABAMA,1952-08-31,NA,0,0,0,0,6,6,0,127.5,127.5
ALABAMA,1952-10-01,NA,0,0,0,0,6,6,0,127.5,127.5
ALABAMA,1952-10-31,NA,0,0,0,0,6,6,0,127.5,127.5
ALABAMA,1952-12-01,NA,0,0,0,0,6,6,0,127.5,127.5
ALABAMA,1952-12-31,NA,0,0,1,0,6,6,0,127.5,127.5
ALABAMA,1953-01-31,195301,5,80,0,5,10,11,80,205,207.5
ALABAMA,1953-03-03,NA,0,0,0,5,10,11,80,205,207.5
ALABAMA,1953-03-31,195303,2,5,1,7,10,13,85,160,212.5
ALABAMA,1953-05-01,NA,0,0,0,2,10,13,5,160,212.5
ALABAMA,1953-05-31,195305,6,330,1,8,13,19,335,415,542.5
ALABAMA,1953-07-01,NA,0,0,0,6,13,19,330,415,542.5
ALABAMA,1953-07-31,NA,0,0,1,6,13,19,330,415,542.5
ALABAMA,1953-08-31,NA,0,0,0,0,13,19,0,415,542.5
ALABAMA,1953-10-01,NA,0,0,0,0,13,19,0,415,542.5
ALABAMA,1953-10-31,NA,0,0,1,0,13,19,0,415,542.5
ALABAMA,1953-12-01,NA,0,0,0,0,13,19,0,415,542.5
ALABAMA,1953-12-31,195312,2,27.5,0,2,15,21,27.5,442.5,570
ALABAMA,1954-01-31,NA,0,0,0,2,10,21,27.5,362.5,570
